"title","artists","date","duration","genre","award","nation"
"(I've Had) The Time of My Life","Bill Medley,Jennifer Warnes","10 luglio 1987","4:50","Pop,,Soft rock,,Adult contemporary music","oro","can"
"Justify My Love","Madonna","6 novembre 1990","4:59","Swing,,Rhythm and blues,,Pop,,Trip hop","oro","can"
"Lane Boy","Twenty One Pilots","4 maggio 2015","4:13","Reggae,,Jungle","oro","can"
"Let's Fall in Love for the Night","Finneas","19 ottobre 2018","3:10","Pop","oro","can"
"Let Me Go","Avril Lavigne","15 ottobre 2013","4:29","Soft rock","oro","can"
"Ice Cream","Blackpink,Selena Gomez","28 agosto 2020  (vedi date di pubblicazione)","2:55","Bubblegum pop,,Dance pop,,Elettropop","oro","can"
"Lego House","Ed Sheeran","11 novembre 2011","3:29","Pop rock","oro","can"
"Levels","Nick Jonas","21 agosto 2015","2:47","Elettropop,,Electro funk","oro","can"
"Lie to Me","5 Seconds of Summer","21 dicembre 2018","2:30","Pop","oro","can"
"Live in the Moment","Portugal. The Man","30 ottobre 2017","4:06","Rock alternativo,,Indie rock","oro","can"
"Learn to Fly","Foo Fighters","18 ottobre 1999","3:55","Rock alternativo","oro","can"
"Little Jeannie","Elton John","1º maggio 1980","4:46","Ballata,,Pop","oro","can"
"Lost Without You","Freya Ridings","3 novembre 2017","3:45","Pop","oro","can"
"Like It Is","Kygo,Zara Larsson,Tyga","27 marzo 2020","3:03","Tropical house","oro","can"
"Love So Soft","Kelly Clarkson","7 settembre 2017","2:52","Soul,,Contemporary R&B,,Trap","oro","can"
"Levels","Avicii","28 ottobre 2011","5:37,,3:19 (radio edit)","Progressive house,,Musica elettronica","oro","can"
"Light It Up","Marshmello","25 aprile 2019","2:17","Elettrorap","oro","can"
"Love Song","Sara Bareilles","19 giugno 2007","4:20","Pop","oro","can"
"Live It Up","Jennifer Lopez","8 maggio 2013","4:03","Electro house,,Eurodance","oro","can"
"Livin' on a Prayer","Bon Jovi","Ottobre 1986","4:10","Hair metal,,Album-oriented rock,,Hard rock","oro","can"
"Made About You","Belinda Carlisle","5 maggio 1986","3:37","Pop rock,,New wave","oro","can"
"Like I Would","Zayn","11 marzo 2016","3:23","Elettropop","oro","can"
"Love Me","Lil Tecca","15 luglio 2019","1:57","Trap","oro","can"
"Magic","B.o.B","2010 (USA  9 novembre 2010  (UK)","3:16","Elettrorap,,Pop punk","oro","can"
"Lullaby","Nickelback","24 febbraio 2012","3:48,(album version),,3:39,(radio edit)","Rock alternativo,,Pop rock","oro","can"
"Midnight","Alesso","8 aprile 2020","3:40","Electronic dance music","oro","can"
"Mean","Taylor Swift","19 ottobre 2010  (download digitale)","3:58","Country","oro","can"
"Marry Me","Jason Derulo","1 settembre 2013","3:45","Pop,,Contemporary R&B","oro","can"
"Master Blaster (Jammin')","Stevie Wonder","Settembre 1980","5:09","Reggae","oro","can"
"Message Man","Twenty One Pilots","15 maggio 2015","4:00","Reggae","oro","can"
"Make It Rain","Ed Sheeran","2 dicembre 2014","6:43","Blues rock","oro","can"
"Megatron","Nicki Minaj","21 giugno 2019","3:10","Hip hop","oro","can"
"Mind Adventures","Des'ree","14 febbraio 1992","","Soul,,Rhythm and blues,,Pop","oro","can"
"Living in America","James Brown","dicembre 1985","4:42","Funk,,Dance pop","oro","can"
"Million Reasons","Lady Gaga","8 novembre 2016","3:35","Country pop","oro","can"
"More Hearts Than Mine","Ingrid Andress","8 luglio 2019","3:34","Country","oro","can"
"Narcos","Migos","21 luglio 2018","4:15","Trap","oro","can"
"Nasty","Janet Jackson","15 aprile 1986","4:03","Contemporary R&B,,Dance pop,,New jack swing","oro","can"
"Make Me...","Britney Spears","15 luglio 2016","3:51","Contemporary R&B","oro","can"
"Miss You Much","Janet Jackson","22 agosto 1989","4:12","Dance pop,,Contemporary R&B,,New jack swing","oro","can"
"Monopoly","Ariana Grande,Victoria Monét","1º aprile 2019","2:39","","oro","can"
"Night Changes","One Direction","16 dicembre 2014","3:52","Pop","oro","can"
"Mrs. Potato Head","Melanie Martinez","14 agosto 2015","3 min : 37 s","Darkwave,,Indie rock","oro","can"
"Mood Swings","Pop Smoke","21 agosto 2020","3:33","Contemporary R&B","oro","can"
"Never Gonna Give You Up","Rick Astley","27 luglio 1987","3:35","Dance pop,,Soul bianco","oro","can"
"Moonlight","Ali Gatie","3 agosto 2018","3:48","Pop","oro","can"
"My Blood","Twenty One Pilots","27 agosto 2018","3:49","Elettropop","oro","can"
"Mr. Saxobeat","Alexandra Stan","12 settembre 2010  (vedi date di pubblicazione)","3:15","Musica house","oro","can"
"Mr. Roboto","Styx","11 febbraio 1983","5:30","Rock elettronico,,Rock progressivo,,New wave","oro","can"
"Mob Ties","Drake","6 gennaio 2019","3:25","Hip hop","oro","can"
"Money for Nothing","Dire Straits","21 giugno 1985","8:26","Blues rock,,Hard rock","oro","can"
"Never Again","Kelly Clarkson","23 aprile 2007","3:37","Pop rock","oro","can"
"Never Seen the Rain","Tones and I","16 luglio 2019","3:20","Indie pop","oro","can"
"Numb","Usher","21 agosto 2012","3:46","Dance pop,,Elettropop","oro","can"
"Modern Love","David Bowie","settembre 1983","4:46 (Album version),,3:56 (Single edit)","New wave,,Pop rock","oro","can"
"Nothing's Gonna Stop Us Now","Starship","30 gennaio 1987","4:30","Rock,,Pop rock,,Power ballad","oro","can"
"My Future","Billie Eilish","30 luglio 2020","3:28","Ballata,,Contemporary R&B,,Jazz","oro","can"
"My My My!","Troye Sivan","11 gennaio 2018","3:24","Elettropop,,Dance","oro","can"
"Pain","Three Days Grace","7 novembre 2006","3:23","Alternative metal,,Post-grunge","oro","can"
"Numb/Encore","Jay-Z,Linkin Park","30 novembre 2004","3:25","Rap rock","oro","can"
"On My Way","Alan Walker,Sabrina Carpenter,Farruko","21 marzo 2019","3:13","Moombahton","oro","can"
"Now and Later","Sage the Gemini","2016","3:13","Pop rap","oro","can"
"One Day","Tate McRae","24 dicembre 2017","3:22","Indie pop","oro","can"
"No Judgement","Niall Horan","7 febbraio 2020","2:56","Pop","oro","can"
"Never Really Over","Katy Perry","31 maggio 2019  (vedi date di pubblicazione)","3:43","Elettropop","oro","can"
"No Surprises","Radiohead","12 gennaio 1998","3:49","Art rock","oro","can"
"No Mediocre","T.I.","17 giugno 2014","3:21","Pop rap","oro","can"
"Party Favor","Billie Eilish","21 aprile 2018","3:24","Indie pop","oro","can"
"Peta","Roddy Ricch","3 gennaio 2020","3:18","Trap","oro","can"
"Open Arms","Journey","gennaio 1982","3:21","Soft rock,,Power ballad","oro","can"
"Nobody's Love","Maroon 5","24 luglio 2020","3:31","Pop","oro","can"
"Otis","Jay-Z,Kanye West","20 luglio 2011","2:58","Jazz rap","oro","can"
"Pink Lemonade","James Bay","7 marzo 2018","4:14","Pop rock","oro","can"
"Perfect Places","Lorde","2 giugno 2017","3:41","Elettropop","oro","can"
"One Too Many","Keith Urban,Pink","16 settembre 2020","3:23","Country","oro","can"
"Picture to Burn","Taylor Swift","29 gennaio 2008","2:57","Country rock","oro","can"
"Party","Chris Brown","16 dicembre 2016","3:40","Hip hop,,Contemporary R&B","oro","can"
"Put a Little Love on Me","Niall Horan","6 dicembre 2019","3:44","Pop","oro","can"
"Paradise","George Ezra","19 gennaio 2018","3:42","Folk rock,,Pop rock","oro","can"
"Rewrite the Stars","Zac Efron,Zendaya","17 novembre 2017","3:37","Pop","oro","can"
"Polaroid","Jonas Blue,Liam Payne,Lennon Stella","5 ottobre 2018","3:13","Dance pop","oro","can"
"Out of the Woods","Taylor Swift","31 dicembre 2015","3:55","Synth pop,,Indietronica","oro","can"
"Rake It Up","Yo Gotti","1 giugno 2017","4:36","Trap","oro","can"
"Polarize","Twenty One Pilots","15 maggio 2015","3:46","Reggae,,Alternative hip hop","oro","can"
"Poison","Alice Cooper","5 settembre 1989","4:29","Pop metal,,Hair metal,,Hard rock","oro","can"
"Perfect Illusion","Lady Gaga","9 settembre 2016","3:02","Dance rock,,Pop","oro","can"
"Relax","Frankie Goes to Hollywood","24 ottobre 1983","3:53","Dance pop,,Synth pop","oro","can"
"No Frauds","Nicki Minaj,Drake,Lil Wayne","10 marzo 2017","4:34","Trap","oro","can"
"Questions","Chris Brown","16 agosto 2017","2:09","Dancehall reggae","oro","can"
"Playing Games","Summer Walker","23 agosto 2018","2:23","Contemporary R&B","oro","can"
"Play Date","Melanie Martinez","14 agosto 2015","2:59","Darkwave,,Pop","oro","can"
"Papi","Jennifer Lopez","17 aprile 2011  (download digitale)  13 settembre 2011  (stazioni radiofoniche)","3:40","Dance pop,,Electro house","oro","can"
"Promises","Calvin Harris,Sam Smith","17 agosto 2018","3:33","Musica house","oro","can"
"Rock n Roll","Avril Lavigne","27 agosto 2013","3:26","Pop punk","oro","can"
"Past Life","Trevor Daniel","6 marzo 2020","3:01","Ballata,,Contemporary R&B,,Rock,,Trap","oro","can"
"Rare","Selena Gomez","17 gennaio 2020","3:40","Pop","oro","can"
"Safari Song","Greta Van Fleet","15 ottobre 2017","3:56","Hard rock,,Blues rock","oro","can"
"Skinny Love","Bon Iver","28 aprile 2008","3:59","Folk","oro","can"
"Right Here Waiting","Richard Marx","21 giugno 1989","4:23","Soft rock","oro","can"
"Say Aah","Trey Songz","12 gennaio 2010","3:27","Pop rap,,Contemporary R&B,,Dirty rap","oro","can"
"Say It","Flume","22 aprile 2016","4:22","Wonky","oro","can"
"Same Love","Macklemore & Ryan Lewis","18 luglio 2012","5:20,(album version),,,4:09 (radio edit)","Conscious hip hop,,Pop rap","oro","can"
"Rosanna","Toto","1 aprile 1982","5:31","Pop rock,,Soft rock,,Fusion","oro","can"
"Run It!","Chris Brown","26 luglio 2005","3:49","Crunk & B","oro","can"
"Rodeo","Lil Nas X,,Cardi B","21 giugno 2019","2:39","Country,,Hip hop,,Trap","oro","can"
"Run to You","Bryan Adams","18 ottobre 1984","3:54","Rock","oro","can"
"Ritual","Tiësto,Jonas Blue,Rita Ora","31 maggio 2019","3:18","Elettropop","oro","can"
"Sir Duke","Stevie Wonder","Marzo 1977","3:52","Rhythm and blues,,Funk","oro","can"
"Somebody's Watching Me","Rockwell","27 dicembre 1983","5:01","Pop,,Synth pop","oro","can"
"Soap","Melanie Martinez","10 luglio 2015","3:29","Elettropop,,Indie pop,,Bubblegum pop","oro","can"
