"title","artists","date","duration","genre","award","nation"
"Girls Need Love","Summer Walker","26 luglio 2018","2:20","Contemporary R&B","oro","au"
"Given to Fly","Pearl Jam","6 gennaio 1998","4:01","Rock alternativo,,Grunge","oro","au"
"Glory and Gore","Lorde","11 marzo 2014","3:32","Elettropop","oro","au"
"Glory Days","Bruce Springsteen","13 marzo 1985","4:15","Heartland rock","oro","au"
"Go","The Kid Laroi,Juice Wrld","12 giugno 2020","3:03","Hip hop","oro","au"
"Going Under","Evanescence","9 settembre 2003","3:34","Rock gotico,,Alternative metal,,Nu metal","oro","au"
"Golden","Harry Styles","23 ottobre 2020","3:28","Arena rock,,Indie pop,,Soft rock","oro","au"
"Gone Away","The Offspring","1997","4:28","Rock alternativo,,Punk revival,,Post-grunge","oro","au"
"Got the Life","Korn","23 novembre 1998","3:45","Alternative metal,,Nu metal","oro","au"
"Got 'til It's Gone","Janet Jackson","22 settembre 1997","4:01 (versione album),3:37 (versione singolo)","Rhythm and blues,,Hip hop,,Alternative hip hop,,Trip hop","oro","au"
"Gorilla","Bruno Mars","26 agosto 2013","4:04","Rock,,Contemporary R&B","oro","au"
"Got What It Takes?","Lauren Platt","30 dicembre 2015","2:29","Pop,,Dance pop,,Elettropop","oro","au"
"Gotta Be You","One Direction","11 novembre 2011    14 novembre 2011  ","4:05","Pop","oro","au"
"Got to Be Certain","Kylie Minogue","2 maggio 1988","3:17","Pop,,Bubblegum pop","oro","au"
"Hands Clean","Alanis Morissette","4 febbraio 2002","4:31","Rock alternativo,,Pop rock","oro","au"
"Happy Ending","Mika","14 dicembre 2007 ","4:33","Pop","oro","au"
"Half of My Heart","John Mayer","21 giugno 2010","4:10,(versione album),,3:52,(singolo)","Pop rock,,Country pop","oro","au"
"Hand on Your Heart","Kylie Minogue","aprile 1989","3:51","Dance pop","oro","au"
"Hanky Panky","Madonna","30 giugno 1990","3:57","Swing,,Pop","oro","au"
"Harder to Breathe","Maroon 5","22 maggio 2002","2:52","Rock alternativo","oro","au"
"Have a Nice Day","Bon Jovi","30 agosto 2005","3:48","Hard rock,,Pop rock","oro","au"
"Happy Song","Bring Me the Horizon","13 luglio 2015","3:59","Rock alternativo,,Alternative metal","oro","au"
"He Wasn't Man Enough","Toni Braxton","11 aprile 2000","4:21","Contemporary R&B","oro","au"
"Hate That I Love You","Rihanna","28 agosto 2007  (Stati Uniti)  12 novembre 2007  (Regno Unito)  6 aprile 2008  (Italia)","3:39","Contemporary R&B","oro","au"
"Heal the World","Michael Jackson","23 novembre 1992","6:25,,(Album Version),4:32,,(7"" Edit)","Soft rock","oro","au"
"Head Over Feet","Alanis Morissette","1996","4:23","Rock,,Grunge","oro","au"
"Heart to Heart","James Blunt","17 dicembre 2013","3:30","Folk rock","oro","au"
"Heart Skips a Beat","Olly Murs","19 agosto 2011","3:22","Pop,,Soul,,Reggae fusion,,Hip hop","oro","au"
"Heart Attack","Demi Lovato","24 febbraio 2013","3:31","Elettropop","oro","au"
"Heartless","Diplo","16 agosto 2019","2:49","Country pop,,Trap","oro","au"
"Heartlines","Broods","10 giugno 2016","3:17","Synth pop","oro","au"
"Heartbeat","Childish Gambino","5 novembre 2011","4:30","Hip house,,Elettrorap","oro","au"
"Heavy","Linkin Park","16 febbraio 2017","2:49","Pop","oro","au"
"Heartbeat Song","Kelly Clarkson","12 gennaio 2015","3:21","Synth pop,,Power pop","oro","au"
"Hella Good","No Doubt","13 aprile 2002","4:02","","oro","au"
"Hey Mama","Black Eyed Peas,,accreditati come The Black Eyed Peas","1º marzo 2004","3:34","Dancehall reggae","oro","au"
"Here to Stay","Korn","11 giugno 2002","4:32","Alternative metal,,Nu metal","oro","au"
"Hideaway","Kiesza","11 aprile 2014","4:11","Dance pop","oro","au"
"Here's to Never Growing Up","Avril Lavigne","9 aprile 2013","3:34","Pop rock","oro","au"
